consent,school year,GPA,gender,race,citizen,English,Greek,major_class,double_major,num_class,num_credithrs,hrs_academics,hrs_extracurr,grad_degree,exam_prep,exam_sleep,alcohol,ill_drugs,pres_drugs,demanding,pressure,anxiety,scholarship_recipient,conduct,traum_event,knowledge_A,knowledge_B,knowledge_C,knowledge_D,knowledge_E,knowledge_F,knowledge_G,Exams_A,Exams_B,Exams_C,Exams_D,Exams_E,Exams_F,Exams_G,Exams_H,Exams_I,Writing_A,Writing_B,Writing_C,Writing_D,Writing_E,Writing_F,Writing_G,Collaboration_A,Collaboration_B,Collaboration_C,Collaboration_D,Other_A,Other_B,Other_C,Other_D,Other_E,Other_F,Other_G,Other_H,Other_I,Other_J,Other_K,Other_L,Other_M,Other_N,Other_O,why_A,why_B,why_C,why_D,why_E,why_F,why_G,why_H,why_I,why_J,why_K,why_never_A,why_never_B,why_never_C,why_never_D,why_never_E,why_never_F,aware_A,aware_B,aware_C,aware_D,aware_E,aware_F,aware_G,aware_H,aware_I,aware_J,aware_K,aware_L,aware_M,aware_N,aware_O,understanding,witness_A,witness_B,witness_C,witness_D,witness_E,witness_F,witness_G,witness_H,anticipate_exam,anticipate_writing,anticipate_collaboration,anticipate_other,hs,hs_exam,hs_writing,hs_collaboration,hs_other,hs_action,age_misconduct,aware_sanction,HC_comm
yes,Freshman,3.5,Female,Black/African American,Yes,Yes,No,Social Sciences,Yes,5,17,20,2,other,>1week,8,0,No,Never,5,5,6,no,No,No,checked,checked,checked,unchecked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Freshman,,Female,Black/African American,Yes,Yes,No,Natural Sciences,Yes,4,16,15,20,none,2-3day,7,0,No,Never,5,8,6,no,No,No,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,1 time,2-4 times,0 times,0 times,0 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,No,No,No,No,No,No,No,No,No,No,No,Maybe,Public,0 times,0 times,1 time,1 time,Yes,10,Yes,Somewhat
yes,Freshman,3.925,Female,Asian,No,No,No,Natural Sciences,Yes,5,18,12,17,pre-med,2-3day,7,0,No,Never,5,5,5,no,No,No,unchecked,checked,checked,checked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Sophomore,3.5,Female,White/Caucasian,Yes,Yes,Yes,Natural Sciences,No,4,15,30,3,pre-med,2-3day,8,3,"Yes, regularly",Rarely,9,10,7,no,No,Yes,unchecked,checked,checked,unchecked,checked,checked,unchecked,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,1 time,2-4 times,0 times,1 time,0 times,1 time,1 time,2-4 times,1 time,1 time,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,"Yes, silent",No,"Yes, silent",No,"Yes, silent","Yes, silent","Yes, silent",No,No,No,Maybe,No,Public,0 times,1 time,2-4 times,1 time,Yes,10,Yes,Somewhat
yes,Junior,3,Female,White/Caucasian,Yes,Yes,Yes,Humanities,No,5,17,10,7,other,1day,5,4,No,Never,5,8,10,no,No,Yes,unchecked,checked,checked,checked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,2-4 times,0 times,1 time,0 times,0 times,0 times,0 times,1 time,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,1 time,0 times,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,unchecked,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,7,"Yes, silent","Yes, silent","Yes, silent",No,No,"Yes, silent","Yes, silent",No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Freshman,4,Female,Asian,Yes,Yes,No,Social Sciences,No,4,15,15,13,pre-med,>1week,8,0,No,Never,5,7,5,no,No,No,checked,checked,checked,unchecked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,2-4 times,0 times,Somewhat,6,Yes,Yes
yes,Freshman,4,Male,White/Caucasian,Yes,Yes,No,Social Sciences,Yes,5,17,15,10,other,1day,8,0,No,Never,5,8,8,no,No,No,checked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,0 times,0 times,0 times,I don't know,99,No,Yes
yes,Freshman,3.5,Male,Black/African American,Yes,Yes,Yes,Humanities,No,5,19,15,4,other,2-3day,7,10,"Yes, occasionally",Rarely,5,8,8,no,No,No,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,2-4 times,2-4 times,1 time,2-4 times,>4 times,2-4 times,1 time,1 time,1 time,2-4 times,1 time,2-4 times,1 time,>4 times,>4 times,2-4 times,0 times,1 time,1 time,2-4 times,1 time,2-4 times,2-4 times,2-4 times,>4 times,2-4 times,2-4 times,1 time,2-4 times,0 times,1 time,2-4 times,1 time,1 time,2-4 times,unchecked,checked,checked,unchecked,checked,unchecked,checked,unchecked,checked,unchecked,unchecked,checked,unchecked,unchecked,checked,unchecked,unchecked,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,7,"Yes, silent",No,"Yes, silent","Yes, report","Yes, silent",No,"Yes, silent","Yes, silent",Yes,Maybe,No,Maybe,Private,1 time,2-4 times,>4 times,2-4 times,No,18,No,Somewhat
yes,Freshman,2.6,Male,Asian,Yes,Yes,No,Social Sciences,No,4,13,10,3,other,2-3day,8,0,No,Never,3,4,9,no,No,Yes,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,12,Yes,Yes
yes,Freshman,3.7,Male,Asian,Yes,Yes,No,Natural Sciences,No,5,17,5,4,pre-med,2-3day,9,0,No,Never,5,6,5,no,No,No,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,2-4 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,No,No,"Yes, silent",No,No,No,No,No,No,No,No,No,Public,2-4 times,0 times,0 times,0 times,Somewhat,17,No,No
yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,Freshman,4,Female,Asian,No,No,No,Humanities,Yes,5,20,20,11,other,>1week,5,0,No,Never,5,8,7,no,No,No,checked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,checked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,"Yes, silent",No,No,No,No,No,No,No,Maybe,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,99,No,No
yes,Freshman,3.65,Female,White/Caucasian,Yes,Yes,No,Natural Sciences,No,5,18,15,8,pre-med,>1week,7,3,No,Never,7,8,8,no,No,No,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Junior,3.43,Female,Black/African American,Yes,Yes,No,Social Sciences,Yes,5,16,18,10,pre-med,1day,7,1,No,Never,6,7,6,yes,No,Yes,unchecked,checked,checked,unchecked,checked,unchecked,unchecked,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,0 times,0 times,0 times,2-4 times,1 time,0 times,0 times,0 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,No,"Yes, silent",No,"Yes, silent",No,No,No,No,No,No,No,No,Public,2-4 times,0 times,2-4 times,0 times,No,13,Yes,Yes
yes,Freshman,3.66,Female,Black/African American,Yes,Yes,No,Natural Sciences,No,6,18,15,20,other,>1week,8,0,No,Never,3,5,5,yes,No,No,unchecked,checked,checked,unchecked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,No,No,No,No,No,"Yes, silent","Yes, silent",No,No,No,No,No,Private,0 times,0 times,1 time,0 times,Yes,15,Yes,Yes
yes,Freshman,3.564,Male,Other,Yes,No,No,Social Sciences,Yes,5,17,18,3,pre-med,>1week,8,0,No,Never,5,7,6,yes,No,No,checked,checked,checked,unchecked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Somewhat,99,Yes,Yes
yes,Freshman,3.68,Female,White/Caucasian,Yes,Yes,No,Social Sciences,No,4,14,12,8,other,>1week,7,0,No,Never,9,9,10,no,No,Yes,checked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,6,No,No,No,No,No,No,No,No,No,Maybe,No,No,Public,2-4 times,2-4 times,0 times,0 times,Somewhat,12,Yes,Yes
yes,Freshman,3.4,Female,White/Caucasian,Yes,Yes,No,Natural Sciences,No,4,15,15,8,pre-med,>1week,7,8,No,Rarely,7,8,7,no,Yes,Yes,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,>4 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,2-4 times,2-4 times,2-4 times,0 times,0 times,>4 times,0 times,0 times,2-4 times,0 times,1 time,2-4 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,"Yes, silent","Yes, silent",No,No,"Yes, silent","Yes, silent","Yes, silent",No,Yes,Yes,No,No,Private,2-4 times,2-4 times,0 times,1 time,Yes,10,Yes,Yes
yes,Freshman,2.8,Female,Asian,No,Yes,No,Social Sciences,Yes,4,15,5,3,other,>1week,6,10,No,Never,9,9,8,no,No,Yes,unchecked,checked,checked,unchecked,unchecked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,2-4 times,2-4 times,0 times,Somewhat,3,No,Somewhat
yes,Junior,3.2,Female,Other,Yes,Yes,No,Natural Sciences,No,4,14,8,8,other,>1week,9,0,"Yes, occasionally",Rarely,7,10,7,no,No,No,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,0 times,0 times,I don't know,0,Yes,No
yes,Junior,3.46,Female,Black/African American,Yes,Yes,No,Social Sciences,Yes,6,18,10,0,none,1day,6,1,"Yes, occasionally",Never,10,7,7,yes,No,Yes,unchecked,checked,checked,unchecked,checked,unchecked,unchecked,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,>4 times,>4 times,>4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,No,No,No,No,Maybe,No,No,Public,>4 times,0 times,>4 times,>4 times,I don't know,12,Yes,Yes
yes,Sophomore,3.9,Female,White/Caucasian,Yes,Yes,Yes,Natural Sciences,Yes,5,17,25,20,pre-med,2-3day,7,5,No,Never,9,9,8,yes,No,No,unchecked,checked,checked,unchecked,checked,unchecked,unchecked,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,7,"Yes, silent",No,No,No,No,No,No,No,No,No,No,No,Private,>4 times,0 times,2-4 times,0 times,Somewhat,18,Yes,Yes
yes,Senior,3.4,Female,Other,Yes,No,No,Natural Sciences,No,1,4,5,10,other,>1week,7,2,No,Never,2,8,8,yes,No,Yes,checked,checked,checked,checked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,>4 times,>4 times,>4 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,>4 times,0 times,Somewhat,16,Yes,Yes
yes,Junior,3.5,Female,Asian,Yes,No,No,Social Sciences,Yes,5,15,10,4,other,2-3day,5,2,No,Never,5,9,10,no,No,No,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,1 time,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,"Yes, silent",No,No,No,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,19,Yes,Yes
yes,Junior,3.967,Female,Asian,No,No,No,Social Sciences,Yes,4,15,12,1,other,2-3day,6,0,No,Never,8,9,5,no,No,No,checked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,unchecked,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,6,No,No,No,No,No,"Yes, silent",No,No,No,No,Maybe,No,Public,0 times,0 times,2-4 times,0 times,Somewhat,15,Yes,Yes
yes,Freshman,2.8,Female,Other,Yes,Yes,No,Natural Sciences,Yes,6,17,15,8,pre-med,2-3day,6,3,"Yes, occasionally",Never,7,10,8,no,No,Yes,unchecked,checked,checked,checked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,8,No,No,No,No,No,No,No,No,No,No,No,Maybe,Public,>4 times,0 times,>4 times,>4 times,No,15,Yes,Somewhat
yes,Freshman,2.8,Female,Black/African American,Yes,Yes,No,Natural Sciences,No,5,17,12,5,pre-med,1day,7,0,No,Never,5,9,8,yes,No,No,checked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,No,No,No,No,No,No,No,No,No,No,No,Maybe,Public,2-4 times,2-4 times,2-4 times,0 times,No,13,Yes,Yes
yes,Freshman,3.3,Female,Other,Yes,No,No,Natural Sciences,Yes,5,18,10,14,pre-med,2-3day,7,0,No,Never,8,8,7,no,No,No,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,1 time,0 times,1 time,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,1 time,2-4 times,1 time,2-4 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,unchecked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,6,"Yes, silent","Yes, silent","Yes, silent",No,"Yes, silent",No,"Yes, silent",No,Yes,Yes,No,Maybe,Public,>4 times,1 time,2-4 times,2-4 times,Somewhat,5,Yes,Somewhat
yes,Freshman,4,Male,Black/African American,Yes,Yes,No,Social Sciences,Yes,5,17,15,10,pre-law,>1week,7,0,No,Never,10,10,10,yes,No,No,unchecked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Senior,3.3,Female,White/Caucasian,Yes,Yes,No,Humanities,No,6,10,10,6,other,>1week,7,5,"Yes, occasionally",Never,5,5,5,no,No,Yes,checked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,unchecked,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,"Yes, silent",No,No,"Yes, silent","Yes, silent","Yes, silent","Yes, silent",No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
